episode,run_0,run_1,run_2,run_3
179,False,True,True,True
180,True,True,False,True
181,True,True,True,True
182,True,True,True,True
183,True,False,True,True
184,False,True,True,False
185,True,True,True,True
186,True,True,False,True
187,True,False,True,True
188,True,True,False,True
189,False,True,True,False
190,True,True,False,False
191,True,True,True,True
192,True,False,True,True
193,True,True,True,True
194,True,True,True,False
195,True,True,True,False
196,True,False,True,True
197,True,True,False,False
198,True,True,False,True
199,True,False,True,True
200,True,True,True,True
201,True,True,True,True
202,True,True,True,True
203,True,True,True,True
204,True,True,False,True
205,True,True,True,True
206,True,True,True,True
207,True,True,True,True
208,True,True,True,True
209,True,True,False,True
210,True,True,True,True
211,False,True,True,True
212,True,True,True,True
213,False,True,False,True
214,True,True,True,True
215,True,False,False,True
216,True,True,True,False
217,True,True,True,True
218,True,True,True,True
219,True,True,True,True
220,True,True,True,True
221,False,True,True,False
222,True,True,True,True
223,False,True,True,False
224,True,True,False,False
225,False,True,True,True
226,True,True,True,True
227,True,True,True,True
228,True,True,True,True
229,False,True,True,True
230,True,True,True,True
231,True,False,True,True
232,True,True,True,True
233,True,False,True,False
234,True,True,True,True
235,True,True,True,False
236,True,True,True,True
237,True,True,True,True
238,True,True,True,True
239,True,True,True,False
240,True,True,True,True
241,True,False,True,True
242,True,True,True,True
243,True,True,True,True
244,True,True,True,True
245,True,False,True,True
246,True,True,True,True
247,False,False,True,True
248,True,True,True,True
249,True,True,True,True
250,True,True,True,True
251,True,True,True,True
252,True,True,True,True
253,True,True,True,True
254,True,False,True,True
255,True,True,True,True
256,False,True,False,True
257,False,True,True,True
258,True,False,True,True
259,True,True,True,True
260,True,False,True,True
261,True,True,True,False
262,True,True,True,True
263,True,False,True,True
264,True,False,True,True
265,True,True,True,True
266,True,True,True,True
267,True,True,True,True
268,True,True,True,True
269,True,True,True,False
270,True,True,True,True
271,True,True,True,True
272,True,True,True,True
273,True,True,True,True
274,True,True,True,False
275,True,True,True,True
276,True,True,False,True
277,True,True,True,True
278,True,True,True,True
279,True,True,True,True
280,True,True,False,True
281,True,True,True,True
282,True,True,False,True
283,False,True,True,True
284,True,True,True,True
285,True,True,False,True
286,True,True,False,True
287,True,True,True,True
288,True,False,True,True
289,True,True,True,True
290,False,True,True,True
291,False,True,True,True
292,True,True,True,True
293,True,True,True,False
294,True,True,False,True
295,True,True,True,True
296,True,True,True,True
297,True,True,True,True
298,True,True,True,True
299,True,True,True,True
300,True,False,True,True
301,True,True,True,True
302,True,True,True,True
303,True,True,True,True
304,True,True,True,False
305,True,True,True,True
306,True,True,True,True
307,True,True,True,False
308,True,False,True,True
309,True,False,True,True
310,True,True,True,True
311,True,True,True,True
312,True,True,False,True
313,True,True,True,True
314,True,True,True,True
315,True,True,True,True
316,True,True,True,False
317,True,True,False,True
318,True,True,True,True
319,True,True,True,True
320,True,True,True,True
321,True,True,True,True
322,True,True,True,True
323,True,True,True,True
324,True,True,True,True
325,True,True,False,True
326,True,True,True,True
327,True,True,True,False
328,True,True,True,True
329,True,True,True,True
330,True,True,True,True
331,True,True,True,True
332,True,True,True,True
333,False,True,True,True
334,True,True,True,True
335,True,True,True,True
336,True,True,True,True
337,True,True,True,True
338,True,False,True,True
339,True,True,False,True
340,True,True,True,True
341,True,True,True,True
342,True,True,True,True
343,True,True,True,True
344,True,True,True,True
345,False,True,True,True
346,True,True,True,True
347,True,True,True,True
348,True,True,True,True
349,True,True,False,True
350,True,False,True,True
351,True,True,False,True
352,True,True,True,True
353,True,False,True,True
354,True,True,True,True
355,True,True,False,True
356,True,True,True,True
357,True,True,True,True
358,True,True,False,True
359,True,True,True,True
360,True,False,True,True
361,True,True,True,True
362,True,True,True,True
363,True,True,False,True
364,True,True,True,True
365,True,False,True,True
366,True,True,True,True
367,True,True,True,True
368,True,True,True,True
369,True,True,True,True
370,True,True,True,True
371,True,True,True,True
372,True,True,True,True
373,True,True,True,True
374,True,True,True,True
375,True,True,True,True
376,True,True,False,True
377,True,True,True,True
378,True,True,True,True
379,True,True,True,True
380,True,True,True,True
381,True,True,True,True
382,True,True,True,True
383,True,False,True,True
384,True,True,True,True
385,False,True,True,True
386,True,True,True,True
387,True,True,True,True
388,True,True,True,True
389,True,True,True,True
390,True,True,True,True
391,True,True,True,True
392,True,True,False,True
393,True,True,True,True
394,True,True,True,True
395,True,True,True,True
396,False,True,True,True
397,False,True,True,False
398,True,False,True,True
399,True,True,True,True
400,True,True,True,True
401,True,True,True,True
402,True,True,True,True
403,True,True,True,True
404,True,True,True,True
405,True,True,True,True
406,True,True,True,True
407,True,True,True,True
408,True,True,True,True
409,False,True,True,False
410,True,True,True,True
411,True,True,True,True
412,True,False,True,True
413,True,True,True,True
414,True,True,True,True
415,True,True,True,True
416,True,False,True,True
417,True,True,True,True
418,True,True,True,True
419,True,True,True,True
420,True,False,True,True
421,True,True,True,True
422,True,True,True,True
423,True,True,True,True
424,True,True,True,True
425,True,True,True,True
426,True,True,True,True
427,True,True,True,True
428,True,True,True,True
429,True,True,False,True
430,True,True,True,True
431,False,False,True,True
432,True,True,True,True
433,True,True,True,True
434,True,True,True,True
435,True,True,False,False
436,True,True,True,True
437,True,True,True,True
438,True,True,True,True
439,True,True,True,True
440,True,True,True,True
441,False,True,True,True
442,True,True,True,True
443,True,True,True,True
444,True,True,True,True
445,True,False,True,True
446,True,True,True,True
447,False,True,True,False
448,True,True,True,True
449,True,True,True,True
450,True,True,True,True
451,True,True,True,True
452,True,True,True,True
453,True,True,True,True
454,True,True,True,True
455,True,True,True,True
456,True,True,True,True
457,True,True,True,True
458,False,True,True,True
459,True,True,True,True
460,True,True,True,True
461,True,False,True,True
462,True,True,True,True
463,True,True,True,True
464,True,True,True,True
465,True,True,True,True
466,True,True,True,True
467,True,True,True,True
468,True,True,True,True
469,True,True,True,True
470,True,True,True,True
471,True,False,True,True
472,True,False,True,True
473,True,True,True,True
474,True,True,True,True
475,True,True,True,True
476,True,True,True,True
477,True,True,True,True
478,True,True,True,True
479,True,True,True,True
480,True,False,True,True
481,True,True,True,True
482,True,True,True,True
483,True,True,True,True
484,True,False,True,True
485,True,True,True,True
486,True,True,True,True
487,True,True,True,True
488,True,True,True,True
489,True,True,True,True
490,True,True,True,True
491,True,True,True,True
492,True,True,True,True
493,True,True,True,True
494,True,True,True,True
495,True,True,True,True
496,True,True,True,True
497,True,True,True,True
498,True,True,True,True
499,True,True,True,True
500,True,True,True,True
501,True,True,True,True
502,True,True,True,True
503,True,True,True,True
504,True,True,True,True
505,True,True,True,True
506,True,True,True,True
507,True,True,True,True
508,True,True,True,True
509,True,True,True,True
510,True,True,True,True
511,True,True,True,True
512,True,True,True,True
513,True,True,True,True
514,True,True,True,True
515,True,True,True,True
516,True,True,True,True
517,True,True,True,True
518,True,False,False,True
519,True,False,True,True
520,True,True,True,True
521,True,True,True,True
522,True,False,False,True
523,True,True,True,True
524,True,True,True,True
525,True,True,True,True
526,True,False,True,True
527,True,True,True,True
528,True,True,True,True
529,True,False,True,True
530,True,True,True,True
531,True,True,True,True
532,True,True,True,True
533,True,True,True,True
534,True,True,True,True
535,True,True,True,True
536,True,False,True,True
537,True,False,True,True
538,True,True,True,True
539,True,True,True,True
540,True,True,True,True
541,True,True,True,True
542,True,True,True,True
543,True,True,True,True
544,True,True,True,True
545,True,True,True,True
546,True,True,True,True
547,True,True,True,True
548,True,True,True,True
549,False,True,True,True
550,True,True,True,True
551,True,True,True,True
552,True,False,True,True
553,True,True,True,True
554,True,True,True,True
555,True,True,True,True
556,True,True,True,True
557,True,True,True,True
558,True,True,True,True
559,True,True,True,True
560,True,True,True,True
561,True,True,True,True
562,True,False,True,True
563,True,False,True,True
564,True,True,True,True
565,True,True,True,True
566,True,True,True,True
567,True,True,True,True
568,True,True,True,True
569,True,True,True,True
570,True,True,True,True
571,True,False,True,True
572,True,True,True,True
573,True,True,True,True
574,True,True,True,True
575,True,True,True,True
576,True,True,True,True
577,False,True,True,True
578,True,True,True,True
579,True,True,True,True
580,True,False,True,True
581,True,True,True,True
582,True,True,True,True
583,True,True,True,True
584,True,True,True,True
585,True,True,True,True
586,True,True,True,True
587,True,True,True,True
588,True,True,True,True
589,True,True,True,True
590,True,True,True,True
591,True,True,True,True
592,True,True,True,True
593,True,True,False,True
594,True,True,True,True
595,True,True,True,True
596,True,True,True,True
597,True,False,True,True
598,True,True,True,True
599,True,True,True,True
600,True,True,True,True
601,True,True,True,True
602,True,True,True,True
603,True,True,True,True
604,True,True,True,True
605,True,True,True,True
606,True,True,True,True
607,True,True,True,True
608,True,True,True,True
609,True,True,True,True
610,True,True,True,True
611,True,True,True,True
612,True,True,True,True
613,True,True,True,True
614,True,True,True,True
615,True,True,True,True
616,True,True,True,True
617,True,True,True,True
618,True,True,True,True
619,True,True,True,True
620,True,True,True,True
621,True,True,True,True
622,True,True,True,True
623,True,True,True,True
624,True,True,True,True
625,True,True,True,True
626,True,True,True,True
627,True,True,True,True
628,True,True,True,True
629,True,True,True,True
630,True,True,True,True
631,True,True,True,True
632,True,True,True,True
633,True,True,True,True
634,True,True,True,True
635,True,True,True,True
636,True,True,True,True
637,True,True,True,True
638,True,True,True,True
639,True,True,True,True
640,True,True,True,True
641,True,True,True,True
642,True,False,True,True
643,True,True,True,True
644,True,True,True,True
645,True,True,True,True
646,True,True,True,True
647,True,True,True,True
648,True,True,True,True
649,True,True,True,True
650,True,True,True,True
651,True,True,True,True
652,True,True,True,True
653,True,True,True,True
654,True,True,True,True
655,True,True,True,True
656,True,True,True,True
657,True,True,True,True
658,True,True,True,True
659,True,True,True,True
660,True,True,True,True
661,True,True,True,True
662,True,True,True,True
663,True,True,True,True
664,True,True,True,True
665,True,True,True,True
666,True,True,True,True
667,True,True,True,True
668,True,True,True,True
669,True,True,True,True
670,True,True,True,True
671,True,False,True,True
672,True,True,True,True
673,True,True,True,True
674,True,True,True,True
675,True,True,True,True
676,True,True,True,True
677,True,True,True,True
678,True,True,True,True
679,True,True,True,True
680,True,False,True,True
681,True,True,True,True
682,True,False,True,True
683,True,True,True,True
684,True,True,True,True
685,True,True,True,True
686,True,True,True,True
687,True,True,True,True
688,True,True,True,True
689,True,True,True,True
690,True,True,True,True
691,True,True,True,True
692,True,True,True,True
693,True,True,True,True
694,True,True,True,True
695,True,True,True,True
696,False,True,True,True
697,True,True,True,True
698,True,True,True,True
699,True,True,True,True
700,True,True,True,True
701,True,True,True,True
702,True,True,True,True
703,True,True,True,True
704,False,True,True,True
705,True,True,True,True
706,True,True,False,True
707,True,True,True,True
708,True,True,True,True
709,True,True,True,True
710,True,True,True,True
711,True,True,False,True
712,True,True,True,True
713,True,True,True,True
714,False,True,True,True
715,True,True,True,True
716,True,False,True,True
717,True,True,True,True
718,True,True,True,True
719,False,True,True,True
720,True,True,True,True
721,True,True,True,True
722,True,True,True,True
723,True,True,True,True
724,True,True,True,True
725,True,True,True,True
726,True,True,True,False
727,True,True,True,True
728,True,True,True,True
729,False,True,True,True
730,True,True,True,True
731,True,True,True,True
732,True,True,True,True
733,True,True,True,True
734,True,True,True,True
735,True,True,True,True
736,True,True,True,True
737,True,True,True,True
738,True,True,True,True
739,True,True,True,True
740,True,True,True,True
741,True,True,True,True
742,True,True,True,True
743,True,True,True,True
744,True,True,True,True
745,True,True,True,True
746,True,True,True,True
747,True,True,True,True
748,True,True,True,True
749,True,True,True,True
750,True,True,True,True
751,False,True,True,True
752,True,True,True,True
753,True,True,True,True
754,True,True,True,True
755,True,True,True,True
756,True,True,True,True
757,True,True,True,True
758,True,True,True,True
759,True,False,True,True
760,True,True,True,True
761,True,True,True,True
762,False,True,True,True
763,True,True,True,True
764,True,True,True,True
765,True,True,True,True
766,True,True,True,True
767,True,True,True,True
768,True,True,True,True
769,True,True,True,True
770,True,True,True,True
771,True,True,True,True
772,True,True,True,True
773,False,True,True,True
774,True,True,False,True
775,True,True,True,True
776,True,False,True,True
777,True,True,True,True
778,True,True,True,True
779,True,True,True,True
780,True,False,True,False
781,True,True,True,True
782,True,True,True,True
783,True,True,True,True
784,True,True,True,True
785,True,True,True,True
786,True,True,True,True
787,True,True,True,True
788,True,True,True,True
789,True,True,True,True
790,True,False,True,True
791,True,True,True,True
792,True,True,True,True
793,True,True,True,True
794,False,True,True,True
795,True,True,True,True
796,True,True,True,True
797,True,True,True,True
798,True,True,True,True
799,True,True,True,True
800,True,True,True,True
801,True,True,True,True
802,True,True,True,True
803,True,True,True,True
804,True,True,True,True
805,True,True,True,True
806,True,True,True,True
807,True,True,True,True
808,True,True,True,True
809,True,True,True,True
810,True,True,True,True
811,True,True,True,True
812,True,True,True,True
813,True,True,True,True
814,True,True,True,True
815,True,True,True,True
816,True,True,True,True
817,True,True,True,True
818,True,True,True,True
819,True,True,True,True
820,True,True,True,True
821,True,True,True,True
822,True,True,True,True
823,True,True,True,True
824,True,True,True,True
825,True,True,True,True
826,True,True,True,True
827,True,True,True,True
828,True,True,True,True
829,True,True,True,True
830,True,True,True,True
831,True,True,True,True
832,True,True,True,True
833,True,True,True,True
834,True,True,True,True
835,True,True,True,False
836,True,True,True,True
837,True,True,True,True
838,True,True,True,True
839,True,True,True,True
840,True,True,True,True
841,True,True,True,True
842,True,True,True,True
843,True,True,True,True
844,True,True,True,True
845,True,True,True,True
846,True,True,True,True
847,True,True,True,True
848,True,True,True,True
849,True,True,True,True
850,True,True,True,True
851,True,True,True,True
852,True,True,True,True
853,True,True,True,True
854,True,True,True,True
855,True,True,True,True
856,True,True,True,True
857,True,True,True,True
858,True,False,True,True
859,True,True,True,True
860,True,True,True,True
861,True,True,True,True
862,True,True,True,True
863,True,True,True,True
864,True,False,True,True
865,True,True,True,True
866,True,True,True,True
867,True,True,True,True
868,True,True,True,True
869,True,True,True,True
870,True,True,True,True
871,True,True,True,True
872,True,True,True,True
873,True,True,True,True
874,True,True,True,True
875,True,True,True,True
876,True,True,True,True
877,True,True,True,True
878,True,True,True,True
879,True,True,True,True
880,True,True,True,True
881,True,True,True,True
882,True,True,True,True
883,True,True,True,True
884,True,True,True,True
885,True,True,True,True
886,True,True,True,True
887,True,True,True,True
888,True,True,True,True
889,True,True,True,True
890,True,True,True,True
891,True,True,True,True
892,True,True,True,True
893,True,True,True,True
894,True,True,True,True
895,True,True,True,True
896,True,True,True,True
897,True,True,True,True
898,True,True,True,True
899,True,True,True,True
900,True,True,True,True
901,True,True,True,True
902,True,True,True,True
903,True,True,True,True
904,True,True,True,True
905,True,True,True,False
906,True,True,True,True
907,True,True,True,True
908,True,True,True,True
909,True,True,True,True
910,True,True,True,True
911,True,True,True,True
912,True,True,True,True
913,False,True,True,True
914,True,True,True,True
915,True,True,True,True
916,True,True,True,True
917,True,True,True,True
918,True,True,True,True
919,True,True,True,True
920,True,True,True,True
921,True,True,False,False
922,True,True,True,True
923,True,True,True,True
924,True,True,True,True
925,True,True,True,True
926,True,True,True,True
927,True,True,True,True
928,True,True,True,True
929,True,True,True,True
930,True,True,True,True
931,True,True,True,True
932,True,True,True,True
933,True,True,True,True
934,True,True,True,True
935,True,True,True,True
936,True,True,True,True
937,True,True,True,True
938,True,True,True,True
939,True,True,True,True
940,True,True,True,True
941,True,True,True,True
942,True,True,True,True
943,True,True,True,True
944,True,True,True,True
945,True,True,True,True
946,True,True,True,True
947,True,True,True,True
948,True,True,False,True
949,True,True,True,True
950,True,True,True,True
951,False,True,True,False
952,True,True,True,True
953,True,True,True,True
954,True,True,True,True
955,True,True,True,True
956,True,True,True,True
957,True,True,True,True
958,True,True,True,True
959,True,True,True,True
960,True,True,True,True
961,True,True,True,True
962,True,True,False,True
963,True,True,True,True
964,True,True,True,True
965,True,True,False,True
966,True,True,True,False
967,True,False,True,True
968,True,True,True,True
969,True,True,True,True
970,True,True,True,True
971,True,True,True,True
972,True,True,True,True
973,True,True,True,True
974,True,True,True,True
975,True,True,True,True
976,True,True,True,True
977,True,True,True,True
978,True,True,True,True
979,False,True,True,True
980,True,True,True,True
981,True,True,True,True
982,False,True,True,True
983,True,True,True,True
984,True,True,True,True
985,True,True,True,False
986,True,True,True,True
987,True,True,True,True
988,True,True,True,True
989,True,True,True,True
990,True,True,True,True
991,True,True,True,True
992,True,True,True,True
993,True,True,True,True
994,True,True,True,True
995,True,True,True,True
996,True,True,True,True
997,True,True,True,True
998,True,True,False,True
999,True,True,True,True
1000,True,False,True,True
1001,True,True,True,True
1002,True,True,True,True
1003,True,True,True,True
1004,True,True,True,True
1005,True,True,True,True
1006,True,True,True,True
1007,True,True,True,True
1008,True,True,False,True
1009,True,True,True,True
1010,True,True,True,True
1011,True,True,True,True
1012,True,True,True,True
1013,True,True,True,True
1014,True,True,True,True
1015,True,True,False,True
1016,True,True,True,True
1017,True,True,True,True
1018,True,True,True,True
1019,True,True,True,True
1020,True,True,True,True
1021,True,True,True,True
1022,True,True,True,True
1023,True,True,True,True
1024,True,True,True,True
1025,True,True,True,True
1026,True,True,True,True
1027,False,True,True,True
1028,True,True,True,True
1029,True,True,True,True
1030,True,True,True,True
1031,True,True,True,True
1032,True,True,True,True
1033,True,True,True,True
1034,True,True,True,True
1035,True,True,True,True
1036,True,True,True,True
1037,True,True,True,True
1038,True,True,True,True
1039,True,True,True,True
1040,True,True,True,True
1041,True,True,True,True
1042,True,True,True,True
1043,True,True,True,True
1044,True,True,True,True
1045,True,True,True,True
1046,True,True,True,True
1047,True,True,True,True
1048,True,True,True,True
1049,True,True,True,True
1050,True,True,True,True
1051,True,True,True,True
1052,True,True,True,True
1053,False,True,True,True
1054,True,True,True,True
1055,True,True,True,True
1056,True,True,True,True
1057,True,True,True,True
1058,False,True,True,True
1059,True,True,True,True
1060,True,True,True,True
1061,True,True,True,True
1062,True,True,True,True
1063,True,True,True,True
1064,True,True,True,False
1065,True,True,True,True
1066,True,True,True,True
1067,True,True,True,True
1068,True,True,True,True
1069,True,True,True,True
1070,True,True,True,True
1071,True,True,True,True
1072,False,True,True,True
1073,True,True,True,True
1074,True,True,True,True
1075,True,True,True,True
1076,True,True,True,True
1077,True,True,True,True
1078,True,True,True,True
1079,True,True,True,False
1080,True,True,True,True
1081,True,True,False,True
1082,True,True,True,True
1083,True,True,True,True
1084,True,True,True,True
1085,True,True,True,True
1086,True,True,False,True
1087,True,True,True,True
1088,True,True,True,True
1089,True,True,True,True
1090,True,True,True,True
1091,True,True,True,True
1092,True,True,True,True
1093,True,True,True,True
1094,True,True,True,True
1095,True,True,True,True
1096,True,True,True,True
1097,True,True,True,True
1098,True,True,True,True
1099,True,True,True,True
1100,True,True,True,True
1101,True,True,True,True
1102,True,True,True,True
1103,True,True,True,True
1104,True,True,True,True
1105,True,True,True,True
1106,True,True,True,True
1107,True,True,True,True
1108,True,True,True,True
1109,True,True,True,True
1110,True,True,True,True
1111,True,True,True,True
1112,True,True,True,True
1113,True,True,True,False
1114,True,True,True,True
1115,True,True,True,True
1116,True,True,True,True
1117,True,True,True,True
1118,True,True,True,True
1119,True,True,True,True
1120,True,True,True,True
1121,True,True,True,True
1122,True,True,True,True
1123,True,False,True,True
1124,True,True,True,True
1125,True,True,True,True
1126,True,True,True,False
1127,True,True,True,True
1128,True,True,True,True
1129,True,True,True,True
1130,True,True,True,True
1131,True,True,True,True
1132,True,True,True,True
1133,True,True,True,True
1134,True,True,True,True
1135,True,True,True,True
1136,True,True,True,True
1137,True,True,True,True
1138,True,True,True,True
1139,True,True,True,True
1140,True,True,True,True
1141,True,True,True,True
1142,True,True,True,True
1143,True,True,True,True
1144,False,True,True,True
1145,True,True,True,True
1146,True,True,True,True
1147,True,True,True,True
1148,True,True,True,True
1149,True,True,True,True
1150,True,True,True,True
1151,True,True,True,True
1152,True,True,True,True
1153,True,True,True,True
1154,True,True,True,True
1155,True,True,True,True
1156,True,True,True,True
1157,True,True,True,True
1158,True,True,True,True
1159,True,True,False,True
1160,True,True,True,True
1161,True,True,True,True
1162,True,True,True,True
1163,True,True,True,True
1164,False,True,True,True
1165,False,True,True,True
1166,True,True,False,True
1167,True,True,True,True
1168,True,True,True,True
1169,True,True,True,True
1170,True,True,True,True
1171,True,True,True,True
1172,True,True,False,True
1173,True,True,True,True
1174,True,True,False,True
1175,True,True,True,True
1176,True,False,True,True
1177,True,True,True,True
1178,True,True,True,True
1179,True,True,True,True
1180,True,True,True,True
1181,True,False,True,True
1182,True,True,True,True
1183,True,True,True,True
1184,True,True,True,True
1185,True,True,True,True
1186,True,True,True,True
1187,True,True,True,True
1188,True,True,True,True
1189,True,True,True,True
1190,True,True,True,True
1191,True,True,True,True
1192,True,True,True,True
1193,True,True,True,True
1194,True,True,True,True
1195,True,True,True,True
1196,True,True,True,True
1197,True,True,True,True
1198,True,True,False,True
1199,True,True,True,True
1200,True,True,True,True
1201,True,True,True,False
1202,True,True,True,True
1203,True,True,True,True
1204,True,True,True,True
1205,True,True,True,True
1206,True,True,True,True
1207,True,True,True,True
1208,True,True,True,True
1209,True,True,True,True
1210,True,True,True,True
1211,True,True,True,True
1212,True,True,True,True
1213,True,True,True,True
1214,True,True,True,True
1215,True,True,True,True
1216,True,True,True,True
1217,True,True,True,True
1218,True,True,True,True
1219,True,True,True,True
1220,True,True,True,True
1221,True,True,True,True
1222,False,True,True,True
1223,True,True,True,True
1224,True,True,True,True
1225,True,True,True,True
1226,True,True,True,True
1227,True,True,False,True
1228,True,True,True,True
1229,True,True,True,True
1230,True,True,True,True
1231,True,True,True,True
1232,True,True,True,True
1233,True,True,True,True
1234,True,True,True,True
1235,True,True,True,True
1236,True,True,True,True
1237,True,True,True,True
1238,True,True,True,True
1239,True,True,False,True
1240,True,True,True,True
1241,True,True,True,True
1242,True,True,True,True
1243,True,True,True,True
1244,True,True,True,True
1245,True,True,True,True
1246,True,True,True,True
1247,True,True,True,True
1248,True,True,True,True
1249,True,True,True,True
1250,True,True,True,True
1251,True,True,True,True
1252,True,True,True,True
1253,True,True,True,True
1254,True,True,True,True
1255,True,True,True,True
1256,True,True,False,True
1257,True,True,False,True
1258,True,True,True,True
1259,True,False,True,True
1260,True,True,True,True
1261,True,True,True,True
1262,True,True,False,True
1263,True,False,True,True
1264,True,True,True,True
1265,True,True,True,True
1266,True,True,True,True
1267,True,True,True,True
1268,True,True,True,True
1269,True,True,True,True
1270,True,True,True,True
1271,True,True,True,True
1272,True,True,True,True
1273,True,True,True,True
1274,True,True,False,False
1275,True,True,True,True
1276,True,True,True,True
1277,True,True,True,True
1278,True,True,True,True
1279,True,True,True,True
1280,True,True,True,True
1281,True,True,True,True
1282,True,True,True,True
1283,True,True,True,True
1284,True,True,True,True
1285,True,True,False,True
1286,True,True,True,True
1287,True,True,True,True
1288,True,True,True,True
1289,True,True,False,True
1290,True,True,True,True
1291,True,True,True,True
1292,True,True,True,True
1293,True,True,True,True
1294,True,True,True,True
1295,True,True,True,True
1296,True,True,True,True
1297,True,True,True,True
1298,True,True,True,True
1299,True,True,True,True
1300,True,True,True,True
1301,True,True,True,True
1302,True,True,True,True
1303,False,True,True,True
1304,True,True,True,True
1305,True,True,True,True
1306,True,True,True,True
1307,True,True,True,True
1308,True,True,True,True
1309,True,True,True,True
1310,True,True,True,True
1311,True,True,True,True
1312,True,True,True,True
1313,True,True,True,True
1314,True,True,True,True
1315,True,True,True,True
1316,True,True,True,True
1317,True,True,True,True
1318,True,True,True,True
1319,True,True,True,True
1320,True,True,True,True
1321,True,True,True,True
1322,True,True,True,True
1323,True,True,True,True
1324,True,True,True,True
1325,True,True,True,False
1326,True,True,True,True
1327,True,True,True,True
1328,True,True,True,True
1329,True,True,True,True
1330,True,True,False,True
1331,True,True,False,True
1332,True,True,True,True
1333,True,True,True,True
1334,True,True,True,False
1335,True,True,True,True
1336,True,True,True,True
1337,True,True,True,True
1338,True,True,True,True
1339,True,True,True,True
1340,True,True,False,True
1341,True,False,True,True
1342,True,True,True,True
1343,True,True,True,True
1344,True,True,True,True
1345,True,True,True,True
1346,True,True,True,True
1347,True,True,True,True
1348,True,True,True,True
1349,True,False,True,True
1350,True,True,True,True
1351,True,True,True,True
1352,True,True,True,True
1353,False,True,True,True
1354,True,True,True,True
1355,True,True,True,True
1356,True,True,True,True
1357,True,True,True,True
1358,True,True,True,True
1359,True,True,True,True
